x,y,z,action
0.001209535,0.033571399,-4.062872165,Jalan
0.007308404,0.028027576,-0.000204923,Jalan
0.007783517,0.032146035,-0.000250346,Jalan
0.008584466,0.032178644,-0.00027639,Jalan
0.013506267,0.027922665,-0.000377313,Jalan
0.01596943,0.0376374,-0.000601551,Jalan
0.016647168,0.043024962,-0.000717007,Jalan
0.016850221,0.04574053,-0.000771656,Jalan
0.013882869,0.045842676,0.000637159,Jalan
0.015817542,0.054282996,-0.00086,Jalan
0.005535824,0.06012927,-0.000333474,Jalan
-0.001554176,0.069068164,0.000107601,Jalan
-0.00561269,0.083090194,0.000467985,Jalan
-0.004105804,0.092005942,0.000379371,Jalan
-0.009752294,0.097912772,0.000959531,Jalan
-0.011701799,0.101574755,0.00119487,Jalan
-0.000938997,0.100383612,9.473853996,Jalan
0.002602586,0.106228588,-0.000278043,Jalan
0.003880925,0.110507845,-0.000431519,Jalan
0.00700653,0.102612366,-0.00072279,Jalan
0.009580179,0.091633552,-0.000881616,Jalan
0.01348787,0.079169947,-0.001071295,Jalan
0.013892023,0.061177677,-0.000851559,Jalan
0.01473452,0.053500772,-0.000789525,Jalan
0.015111217,0.044785938,-0.000677527,Jalan
0.022717105,0.038266684,-0.000870171,Jalan
0.028302256,0.037151912,-0.001052632,Jalan
0.037581699,0.043652022,-0.001643248,Jalan
0.037811855,0.048282571,-0.001829099,Jalan
0.05156178,0.054448494,-0.0028154,Jalan
0.055674079,0.051472115,-0.002873948,Jalan
0.036482079,0.051500167,-0.00188259,Jalan
0.036804913,0.061617579,-0.002273699,Jalan
0.021010131,0.062059925,-0.001306696,Jalan
0.021130163,0.046043093,-0.000974149,Jalan
0.01909,0.041187898,-0.000787089,Jalan
0.021896018,0.034147418,-0.000748309,Jalan
0.021919044,0.029752372,-0.000652589,Jalan
0.024045686,0.023891266,-0.000574812,Jalan
0.023080081,0.030933615,-0.000714483,Jalan
0.022683337,0.037011011,-0.000840326,Jalan
0.025085492,0.047352244,-0.001189564,Jalan
0.022858281,0.061926353,-0.001418626,Jalan
0.019316693,0.068255114,-0.001321794,Jalan
0.01899415,0.083409188,-0.001590117,Jalan
0.01752443,0.098517699,-0.001735178,Jalan
0.015173344,0.101360272,-0.001546118,Jalan
0.019276854,0.106478081,-0.00206469,Jalan
0.02359936,0.114612456,-0.002723501,Jalan
0.023278318,0.122688046,-0.002878516,Jalan
0.031570072,0.13296432,-0.004237488,Jalan
0.024152742,0.152224665,-0.003721134,Jalan
0.031305107,0.16696381,-0.005303984,Jalan
0.018139485,0.165579061,-0.003046088,Jalan
0.02867535,0.177461969,-0.005173126,Jalan
0.030276931,0.197270833,-0.006095504,Jalan
0.032252075,0.211175772,-0.006971972,Jalan
0.03947586,0.211994124,-0.008570611,Jalan
0.052416649,0.217919425,-0.011721653,Jalan
0.057449896,0.202965613,-0.01192965,Jalan
0.051000317,0.182859183,-0.009499049,Jalan
0.040853417,0.162020394,-0.006713625,Jalan
0.042421504,0.161407924,-0.006944732,Jalan
0.050204336,0.170573965,-0.008702562,Jalan
0.01482591,0.151489794,-0.00227246,Jalan
0.027149238,0.166899341,-0.004597442,Jalan
0.04238081,0.181606528,-0.007834309,Jalan
0.031125907,0.201319342,-0.006400595,Jalan
0.034912011,0.214351669,-0.007666663,Jalan
0.016330138,0.212508379,-0.003551928,Jalan
0.000501075,0.224692707,-0.000115542,Jalan
-0.004410333,0.216436011,0.000977741,Jalan
-0.013650668,0.196454393,0.002735307,Jalan
-0.011048629,0.184748878,0.002077111,Jalan
-0.012912385,0.164232543,0.002150014,Jalan
-0.009936584,0.146824049,0.00147499,Jalan
