x,y,z
-0.569921480436,-0.0702557491816,-0.0489955266799
-0.570014507009,-0.0693547204986,-0.0483721415375
-0.570695910493,-0.0684170783825,-0.0477964291538
-0.570917771501,-0.0668281436125,-0.0467022680679
-0.57127499823,-0.0662296229937,-0.0463231306352
-0.57143531033,-0.0654365018281,-0.0457822329276
-0.571320983189,-0.0648456005761,-0.0453513437534
-0.571868662205,-0.064261609342,-0.0450035113125
-0.571631392635,-0.0644804049318,-0.0451301607324
-0.571361558267,-0.064372976673,-0.0450225015158
-0.57136296293,-0.064670420336,-0.0452326429295
-0.571289437823,-0.064727075947,-0.0452639393862
-0.570763531756,-0.0650561964841,-0.0454337528901
-0.570470435774,-0.0654250335545,-0.045658790844
-0.570507899541,-0.0654099504615,-0.0456526360944
-0.57050195962,-0.0656723349027,-0.0458368144078
-0.57012267435,-0.0657984687125,-0.0458801727236
-0.570184753323,-0.0658370330588,-0.0459147760889
-0.570797209295,-0.0653702269438,-0.0456591742047
-0.570682256324,-0.0651996964224,-0.0455252450978
-0.571840049184,-0.0651007658089,-0.0455933254032
-0.572845406868,-0.0656221664887,-0.046082990302
-0.572670968167,-0.0654938243791,-0.0459710178725
-0.57238676803,-0.0661901183352,-0.0464300275004
-0.57244709118,-0.0664205256439,-0.046600601711
-0.572891738827,-0.066665753076,-0.0468287975269
-0.573524501169,-0.0670302031699,-0.0471653845915
-0.573892042921,-0.0673271369303,-0.0474220248238
-0.573951673053,-0.0677451042316,-0.0477269118785
-0.573717479059,-0.0680299688092,-0.0479003406293
-0.5728834737,-0.068858655093,-0.0483843392565
-0.572261588029,-0.0694794197385,-0.0487458595104
-0.571985526379,-0.0696383074969,-0.0488232630205
-0.571810700108,-0.0699893324001,-0.0490496223419
-0.571861105065,-0.0710755487823,-0.0498260159274
-0.571444837742,-0.0716287425053,-0.0501635804392
-0.570888626849,-0.0717673974187,-0.0501886654744
-0.571043638831,-0.0719233002502,-0.050319374551
-0.5707656701,-0.0725509732082,-0.0507267393064
-0.5709523962,-0.072490495742,-0.0507087443005
-0.570670705324,-0.07252761877,-0.0506976085337
-0.57043764049,-0.0726570678495,-0.0507581763074
-0.570212667162,-0.0723433620411,-0.0505066843141
-0.570034358694,-0.0722933384618,-0.0504477917849
-0.569505521189,-0.072021660013,-0.0501864640955
-0.569961591472,-0.0712490106546,-0.0497012362943
-0.569609184586,-0.0710551135128,-0.0495187466206
-0.570266784533,-0.0708071250839,-0.0494289985026
-0.570371617257,-0.0704091468661,-0.0491615768466
-0.571338613021,-0.0695709188294,-0.0486929971841
-0.571449449329,-0.0693033916146,-0.0485178021885
-0.571542446162,-0.068646138388,-0.0480644787373
-0.572253902134,-0.0673632428321,-0.0472448350949
-0.572417409925,-0.0667967901286,-0.0468635921474
-0.572683800033,-0.0669902193018,-0.047033427019
-0.572648833163,-0.0665908623946,-0.046745958506
-0.57217024365,-0.0667319931758,-0.0467874203028
-0.572273038646,-0.0669925109315,-0.0469845453365
-0.571846827743,-0.0673488655311,-0.047184379044
-0.571825056622,-0.0670858607672,-0.0469955771751
-0.571599896672,-0.0667920311044,-0.0467601299255
-0.570967497231,-0.0673646439276,-0.0470871133288
-0.570758127791,-0.0673135336445,-0.0470252640789
-0.570959826112,-0.0678649896583,-0.047439490037
-0.571087030393,-0.06809561474,-0.0476182186087
-0.571109212176,-0.0680676054692,-0.047601191123
-0.571029883225,-0.0676760495245,-0.0473147300565
-0.571659287834,-0.0672235772476,-0.0470726138066
-0.571783632267,-0.0671962241612,-0.0470685725646
-0.571773665629,-0.0676380448313,-0.0473799849791
-0.571862205513,-0.0677585612722,-0.0474762705667
-0.572437966601,-0.0674581036288,-0.0473348309885
-0.57246429734,-0.0671816242047,-0.0471421002614
-0.572887081051,-0.0677575579073,-0.0476030171742
-0.572235558705,-0.0679921090928,-0.0476881625628
-0.572373532441,-0.068365691472,-0.0479702454995
-0.571904506403,-0.0684509660965,-0.0479718060695
-0.571491924941,-0.0690073479316,-0.0483136983652
-0.571124889706,-0.0694785722209,-0.0486004729623
-0.570632134986,-0.0701055707962,-0.048980662479
-0.570727472892,-0.0700444060357,-0.0489496714679
-0.57068717097,-0.0691817599608,-0.0483352237589
-0.570433678745,-0.0690788224909,-0.0482305326828
-0.570461215128,-0.0691109865116,-0.0482567063315
-0.570225672334,-0.06912615933,-0.0482376729185
-0.570246670005,-0.0690236061667,-0.0481679932708
-0.569995133547,-0.0690079684506,-0.048125277885
-0.570977523617,-0.0684399727361,-0.0478478326045
-0.57139585352,-0.0682347121094,-0.0477550696499
-0.571424240382,-0.0677572782656,-0.0474209999006
-0.570835389774,-0.0674502221635,-0.0471312501149
-0.570504492581,-0.0670294746315,-0.0467937677
-0.569738388147,-0.0672788243258,-0.046875565997
-0.569490216683,-0.0672944969536,-0.046856168012
-0.569441131912,-0.0667098770168,-0.0464390923663
-0.569299135767,-0.0667070563847,-0.0464198658733
-0.56981379189,-0.0663008743692,-0.0461965797859
-0.570322721325,-0.0660777257169,-0.0461008980251
-0.570935657402,-0.0655214947232,-0.0457824142197
-0.571270662849,-0.0661130304264,-0.0462402588419
-0.571293302534,-0.0659394536426,-0.0461204040286
-0.571601552045,-0.0653702509785,-0.0457553218882
-0.571825729618,-0.0651460388128,-0.0456236258238
-0.571762249136,-0.0648322431012,-0.04539425475
-0.572031963132,-0.0647856229944,-0.0453933032889
-0.572766314225,-0.0647204267029,-0.0454343390199
-0.572615557312,-0.0651614557202,-0.0457288641924
-0.572773885305,-0.06528487757,-0.0458352794656
-0.572442870989,-0.0656505403921,-0.0460546066995
-0.57170501449,-0.0665691198527,-0.0466153334923
-0.57149567965,-0.0670343812582,-0.0469187111458
-0.571386314804,-0.0679571469504,-0.0475576088908
-0.571400723791,-0.0688672806618,-0.0482030846358
-0.571055051278,-0.0696481949211,-0.0487115097002
-0.571016699704,-0.0708701889934,-0.0495707314907
-0.57075655148,-0.071650541758,-0.0500886805449
-0.570305585653,-0.0718779984095,-0.0501902300635
-0.570574850812,-0.0719805045285,-0.0502980855334
-0.570497327192,-0.0719233704133,-0.0502474985046
-0.570395799127,-0.0722093111599,-0.0504361827494
-0.570729858255,-0.0720921386055,-0.0503974509332
-0.57043314771,-0.071399730885,-0.0498690986249
-0.570008550501,-0.0703931263546,-0.0491035808694
-0.570127144771,-0.0692764732188,-0.0483312258539
-0.57029408949,-0.0683431558841,-0.047694079269
-0.570356985599,-0.0676304866359,-0.0471993918157
-0.570495637729,-0.0668567855658,-0.0466709257237
-0.570866621176,-0.0658248642437,-0.045988136504
-0.571298566757,-0.0654437888439,-0.0457710113612
-0.57116183012,-0.0650234081215,-0.0454579530694
-0.571419221974,-0.0649252608319,-0.0454192459095
-0.571510483894,-0.0642195900525,-0.0449317209083
-0.571421641204,-0.0634206817177,-0.0443573922662
-0.571417688297,-0.0627974361764,-0.0439171662772
-0.571949940171,-0.0624976117316,-0.0437664838495
-0.571897743484,-0.0621376689433,-0.0435062978545
-0.571727198535,-0.0618483157355,-0.043282671825
-0.571544685213,-0.0612014362923,-0.0428057409791
