x,y,z
-0.0036947752082,-0.561725557268,-0.00250866748179
-0.00294482232845,-0.561456554044,-0.00199805760202
-0.0040258767544,-0.56210813259,-0.00273620656006
-0.00482038903819,-0.562004996493,-0.00327534656619
-0.00297472541693,-0.562362625492,-0.00202310918421
-0.00319364167759,-0.562185787588,-0.00217099845859
-0.00449817044775,-0.562128056775,-0.00305737482827
-0.0035577798741,-0.562024817541,-0.00241752917671
-0.00265211746448,-0.561655015689,-0.00180038375432
-0.00375743524613,-0.561427673693,-0.00254923756852
-0.00629326327884,-0.56118910454,-0.00426714106859
-0.00806409622947,-0.561517191262,-0.00547266938662
-0.00923732785454,-0.561174316693,-0.00626342542504
-0.00985143714618,-0.560850496512,-0.0066742844233
-0.00835784064765,-0.561612008247,-0.0056734462692
-0.00816378429966,-0.561205660547,-0.00553584395444
-0.00785100082173,-0.560538873618,-0.0053144912083
-0.00671482280813,-0.560234375142,-0.00454171154904
-0.00719296005896,-0.560393098304,-0.00486715350928
-0.0070814671425,-0.560337379745,-0.00479100860663
-0.00616772354921,-0.559706913056,-0.00416591740989
-0.00500087790741,-0.55938222671,-0.00337488612171
-0.00417939295058,-0.560190717433,-0.0028264163019
-0.00447955584953,-0.560048363292,-0.0030282954098
-0.00416444949562,-0.560041276367,-0.00281521533363
-0.00379572673026,-0.560177084793,-0.00256685329515
-0.00528027768974,-0.560763244365,-0.0035762785135
-0.00565153744835,-0.560892906005,-0.00382903681068
-0.00589667216292,-0.560979446842,-0.0039960323194
-0.0064278095881,-0.561672767365,-0.00436386466947
-0.00459945543093,-0.562451915432,-0.00312885487837
-0.00335936529538,-0.562555527313,-0.00228585499029
-0.00258169798376,-0.562070491461,-0.00175447383134
-0.00243516596071,-0.56226850309,-0.00165574456018
-0.00255549074738,-0.561896955524,-0.00173587998514
-0.00296649836085,-0.561770789376,-0.00201441077773
-0.00350347768803,-0.562071451417,-0.00238091835213
-0.0036217155797,-0.56253188167,-0.0024642225689
-0.00316413705605,-0.562625556141,-0.00215340260179
0.000217175511703,-0.562354481116,0.000147696431975
0.00159377222442,-0.562186750603,0.00108342066223
0.00286711813922,-0.561925926336,0.00194771082833
0.000150377947453,-0.561334921198,0.000101998000027
-0.000901620241141,-0.561140605603,-0.000611240350127
-0.00118806186571,-0.560452321176,-0.00080398904763
-0.00286526769968,-0.560119029102,-0.00193732669226
-0.0048950371586,-0.560128211919,-0.00330987268928
-0.00672839994684,-0.559849492013,-0.00454634084473
-0.00849260237514,-0.559432543607,-0.00573234338868
-0.00992100826787,-0.559623853881,-0.0067000110333
-0.0108049186663,-0.559507138245,-0.00729487315497
-0.0104858226526,-0.560047760592,-0.00708935221267
-0.010032751045,-0.559741530798,-0.00677756591225
-0.00968649691522,-0.560315053629,-0.00655338048665
-0.00817347172903,-0.560659961411,-0.00553455148182
-0.00740600745391,-0.560803537102,-0.00501668347269
-0.00622767738193,-0.561444445317,-0.00422547250725
-0.00518005779179,-0.562178445697,-0.00352133515013
-0.00388616578458,-0.562238782393,-0.00264214583855
-0.00173459770761,-0.562782455629,-0.00118098032896
-0.000831107928386,-0.563187305958,-0.000566444636846
-0.000630774228623,-0.563813553494,-0.000430606983374
-0.000667081198484,-0.564228001322,-0.000455883480721
-0.0016893180207,-0.564567905347,-0.00115550414807
-0.00124947012576,-0.564585763176,-0.000854683914153
6.49204644321e-05,-0.564662377319,4.44167780069e-05
0.0011723423917,-0.564397373148,0.000801532823257
0.000386521674336,-0.563621889976,0.000263732969284
0.000415803365624,-0.563329031206,0.000283496602013
-0.000905830798325,-0.563010890046,-0.000617089207288
-0.00174585276593,-0.562432136997,-0.00118756084158
-0.00117992839331,-0.562384780148,-0.000802508514078
-0.00232221485101,-0.561536316196,-0.00157594075228
-0.00402061092144,-0.561029720032,-0.00272497327537
-0.00656222036607,-0.561348708613,-0.00445137122897
-0.00865101766665,-0.561181577951,-0.00586591953652
-0.00983451569616,-0.561001970949,-0.00666544400225
-0.0109140074698,-0.560762304494,-0.00739264617194
-0.0106216466883,-0.560960590093,-0.00719827860295
-0.0103730964509,-0.561199023073,-0.00703415916049
-0.0107416311152,-0.561617323744,-0.00729205944918
-0.00981954822699,-0.561329454954,-0.00666096984715
-0.00665561555768,-0.561674758735,-0.00451856079663
-0.00615279012457,-0.56186569403,-0.0041792341161
-0.00478502082898,-0.561701295218,-0.00324874624959
-0.00558215358377,-0.561603982241,-0.00378902650858
-0.00410878267987,-0.561915726024,-0.00279115887413
-0.00404139090901,-0.562398389698,-0.00274882548703
-0.00565922172546,-0.562819051074,-0.00385350064122
-0.00620027571006,-0.563570642117,-0.00423020641485
-0.00656307852951,-0.563561510665,-0.00447764857635
-0.00424152608704,-0.563169145242,-0.00289074467033
-0.00332469768251,-0.562703670786,-0.00226313685379
-0.00183862367793,-0.562275297373,-0.00125015571707
-0.00152081070619,-0.561696101232,-0.0010325039282
-0.00187783015678,-0.56106077254,-0.00127278703486
-0.00177966374937,-0.56110744999,-0.00120639617523
-0.00371056299824,-0.561280210973,-0.00251647066932
-0.00680882519811,-0.561662139544,-0.00462243473019
-0.0089492764466,-0.561818726982,-0.00607825693281
-0.0106086976559,-0.561529540773,-0.00720015010105
-0.0098823425515,-0.561280656254,-0.00670272351624
-0.00712182053882,-0.56163182735,-0.00483456504111
-0.00529170479691,-0.561267086334,-0.00358871883244
-0.00406774802586,-0.561027706091,-0.00275690717403
-0.00254645291466,-0.560914090052,-0.00172532432901
6.93353018757e-05,-0.560386713932,4.69127310727e-05
0.000224516511884,-0.560552429175,0.000151974888169
0.00157079259409,-0.560623653564,0.00106346688916
0.00233446296732,-0.561307225307,0.00158330913874
0.00195450380513,-0.561605465844,0.00132663481559
0.00114675175203,-0.562145574357,0.000779458855296
-0.000152763639408,-0.562975121192,-0.000104059107622
-0.000906054340808,-0.562918172037,-0.000617092687873
-0.000702510971859,-0.563618867166,-0.000479336422914
-0.00150148596804,-0.564335443261,-0.00102640462805
-0.00217016770508,-0.564926495516,-0.00148579590357
-0.00190673396532,-0.564959386778,-0.00130554726118
-0.000697295679203,-0.565226172641,-0.000477770376902
-0.00145436053061,-0.566191715443,-0.000998999344599
-0.0019931352426,-0.567050738346,-0.0013721466571
-0.000716673493006,-0.567201523689,-0.000493575607763
-0.000455974785993,-0.567228172547,-0.000314053120859
-0.000564503408908,-0.566983190988,-0.000388554869836
-0.000526776340656,-0.56764109668,-0.00036320740918
-0.000609954290968,-0.567413298832,-0.000420308943705
-0.000472648188457,-0.567185269341,-0.000325500649159
-0.00142905429988,-0.566671849367,-0.000982842346823
-0.00330739368857,-0.566465920785,-0.0022734883575
-0.00362093715912,-0.565389198433,-0.00248206540753
-0.00548844669228,-0.564160010522,-0.00375026276121
-0.00728323604124,-0.563305474189,-0.00496572055301
-0.00998230972279,-0.562191939387,-0.00678660929451
-0.0132262673929,-0.561470645502,-0.00897592358346
-0.0157629034048,-0.561515111459,-0.0106994730197
-0.0185166362238,-0.56114433396,-0.0125577838733
-0.0183991204245,-0.561102061535,-0.0124766556057
